review_text,sentiment_label,sentiment_score,identified_theme
"The Dashen supperapp is a revolutionary advancement in digital banking, combining exceptional usability, an intuitive interface and a seamless user experience. among its standout features are the integration of QR codes, account statement, transaction advise, chat, transaction authentication for limit thresholds, budgeting and different app in a single dashboard. Truly ahead of the curve ..... keep up the excellent work 🤝👏",POSITIVE,0.9997472167015076,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"A proudly Ethiopian innovation that delivers beyond expectations. The marketplace feature is a big win for local shoppers and sellers. Very impressed with the new updates, The e-commerce section is smooth and supports Ethiopian merchants!",POSITIVE,0.9998795986175537,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"Very impressed with the new updates, The e-commerce section is smooth and supports Ethiopian merchants.",POSITIVE,0.9998557567596436,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"Dashen Bank Super App is fast, reliable, and super easy to use. All my banking needs are handled smoothly in one place. Clean design and seamless experience – highly recommended!",POSITIVE,0.9997962117195129,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"Db sup app is A platform or an application that can grasp more satisfactions through fastest mode of operation which means for budget planning, to use QR code(scan, pay, go) chat with staff, acc to acc other bank ft, merchant payment, and easly. I addition to i satisfied and i invite everyone to use those platform!!.",POSITIVE,0.894790768623352,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
the chat banking and unique and only app that alow money request!!,NEGATIVE,0.9822685718536377,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Better and inclusive app!,POSITIVE,0.999285876750946,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Amazing Application,POSITIVE,0.9998698234558105,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
It keep my time to pay my bills and I generate my satment easily,POSITIVE,0.996675968170166,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"It's an amazing app that is up-to-date with the times, wow wow",POSITIVE,0.9998683929443359,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
A game-changing Ethiopian innovation—where shopping meets opportunity. The marketplace feature connects buyers and sellers like never before.,POSITIVE,0.9993858337402344,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"Dashen Super App isn’t just an app — it’s an experience. Effortless, powerful, and built for the future",POSITIVE,0.9997283816337585,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"This Is An Amazing App with Uniqe Quality,Easy And Fast Mobile Banking App.",POSITIVE,0.9997382760047913,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"Dashen SuperApp is a lifesaver! Banking, shopping, and bills in one super easy app. The new e-commerce feature is awesome and supports local merchants. Fast, secure, and proudly Ethiopian.Download it now—you won’t regret it!",POSITIVE,0.9996484518051147,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"Dashen SuperApp blends finance, shopping, and daily services effortlessly. The new e-commerce feature is smooth and supports local merchants—proud to back an Ethiopian-made solution!",POSITIVE,0.9998247027397156,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"A solid step forward by Dashen Bank. The SuperApp combines essential banking features with lifestyle services, making everything accessible in one place. The interface is smooth, and transactions are quick and reliable. It’s clear a lot of thought went into the design and functionality. Great job!",POSITIVE,0.9998260140419006,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Dashen bank super app is the crucial and convenient app in Ethiopia. there is no other app to compare with Dashen bank super app,POSITIVE,0.9817668795585632,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"All-in-one finance & e-commerce super app! Pay, save, shop seamlessly. Fast, secure. #BankAndShop",POSITIVE,0.9943593144416809,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
it's a hestorical app. in the bank industry.,NEGATIVE,0.9915915727615356,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"A game changer in Ethiopian digital banking fast, secure, and packed with services. Everything you need, all in one powerful app. A true leap toward financial convenience and innovation!",POSITIVE,0.9996839761734009,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"easy &,simple to use",POSITIVE,0.9968307614326477,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"Banking, but make it smart. Local solutions, all in one place. Smooth, fast, and actually saving time. Feels like the future. Love it!",POSITIVE,0.9998811483383179,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"All in one, that is it 👌",POSITIVE,0.8945459127426147,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
", Dashen Bank Supper App is multipurpose, convenient, very attractive and Make life easier",POSITIVE,0.9995104074478149,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
very easy and flexible app.,POSITIVE,0.9997106194496155,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"I choose Dashen Bank Super Up since, it is easy to use & it has attractive features !",POSITIVE,0.9998281002044678,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
dashen super app is simple faster and reliable.,POSITIVE,0.999518632888794,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"Dashen Bank Super App is a game-changer! The user-friendly design, wide range of services, and smooth performance make it incredibly convenient for everyday banking. It’s fast, secure, and truly reflects the bank’s commitment to digital excellence. Highly recommended!",POSITIVE,0.999748170375824,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"The app keeps getting better with every update! Smooth performance, great UI, and top-notch security. Thank you for making banking so convenient!""",POSITIVE,0.9995062351226807,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
this app is the most simply to use and secure safe i love it to use for any bank transaction,POSITIVE,0.9964408278465271,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"After i download the app recently had a smooth expriance, its user friendly, fast, and everything works as expected. keep up the good work.",POSITIVE,0.9997468590736389,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
An app with High performance and advanced features!,POSITIVE,0.9995831847190857,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"It is a very user friendly, attractive user interface, full of useful features. I really encourage everyone to give it a try.",POSITIVE,0.9997954964637756,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"Good actually , but it have to WORK when developer option is on 🙏",NEGATIVE,0.9746389389038086,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"All-in-one convenience, From managing accounts to paying bills and shopping online and the chat banking is game changer, this app does it all seamlessly.",POSITIVE,0.9981800317764282,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
I appreciate that Dashen Bank takes lifestyle services into account.,POSITIVE,0.9980393052101135,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
keep it up!,POSITIVE,0.9998477697372437,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
amazing app really i loved it .that's why we say dashen bank is one stap ahead. It's the best mobile application that should be on every phone.,POSITIVE,0.9998038411140442,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
very comfortable app keep it,POSITIVE,0.999691367149353,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
it has clear detail information about the application so it helps customer how to use the app. and it is very easy to use and also app is secure.,POSITIVE,0.999531626701355,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"I have been using the Dashen Supper app mobile banking app , and overall, I appreciate its features.However,I’ve noticed that when I turn on the developer options on my device, the app stops functioning properly. It would be great if you could look into this issue, as I often need to access developer settings for other applications . Thank you for your attention to this matter!",NEGATIVE,0.906873881816864,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
easiness to use with fast response time,NEGATIVE,0.964725911617279,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"The new mobile banking application is a major upgrade! It’s incredibly user-friendly, with a clean and modern design that makes navigation simple and intuitive. I really appreciate how fast it loads and how smooth the overall experience is. All essential services like balance checks, transfers, and bill payments are eas y to find and use. The added security features give me peace of mind, and the app runs reliably without crashes or glitches. It’s clear a lot of thought went into the user experi",POSITIVE,0.9992745518684387,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"As an Internal Customer, Dashen Bank SuperApp has greatly simplified my online banking experience. It's easy to use, allowing me to quickly check balances, transfer money and pay Bills. The app's advanced security features are highly secure, ensuring my data is well protected. The Three click, Chat Banking and IPS features have also given me a smarter experience. In deed Dashen Bank is always steping ahead!",POSITIVE,0.9990044236183167,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"A truly impressive app — user-friendly and a game-changer in Ethiopian banking. The Dashen Super App stands out as one of the most innovative and convenient digital banking solutions in Ethiopia’s financial history. Smooth navigation, seamless features, and a wide range of services all in one place. Well done!",POSITIVE,0.9998193383216858,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
dashen bank super up has very fast and convenience and also it has contain more things on one app .I am very interesting to use dashen bank super up,POSITIVE,0.9974090456962585,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"The Dashen Bank Super App has truly elevated my mobile banking experience. It's fast, user-friendly, and packed with all the essential features. The interface is clean and intuitive, making navigation easy even for first-time users. I also appreciate the added security features that give me peace of mind while banking on the go. Dashen Bank has done an amazing job with this app—it’s reliable, efficient, and always improving. Highly recommended for anyone looking for seamless digital banking!",POSITIVE,0.9998351335525513,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
A fantastic product!! keep the good work.,POSITIVE,0.9998842477798462,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"I am very impressed with the Dashen super app. It is user-friendly and operates efficiently. The budget and chatbot features are impressive, and all items can be purchased with just three clicks.",POSITIVE,0.9998030066490173,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"The Dashen Super App offers a quick and user-friendly experience, bringing together a variety of services, like budgeting, payments, airtime recharges, and more, all in one convenient platform. Its sleek design and intuitive navigation ensure effortless transactions. It's evident that Dashen Bank has carefully crafted the app to make everyday financial activities easier. A great choice for anyone aiming to streamline their digital routines!",POSITIVE,0.999062716960907,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Dashen supper App is the most useful app for our customers,POSITIVE,0.9988586902618408,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
it is the most amazing mobile app,POSITIVE,0.9998717308044434,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
A Good and fast supper app thanks for dashen bank,POSITIVE,0.9997884631156921,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"Dear Users of the Dashen Bank Super App,I have been using the Dashen Bank Super App for a while now, and I must say—it’s truly a game-changer! The app is incredibly fast and reliable; I’ve never encountered any delays with my transactions. One feature I absolutely love is Chat Banking. It makes everyday tasks like checking my balance or transferring money as simple as sending a quick message. Also, the budgeting tool has been a huge help in tracking my spending and giving me a clearer",POSITIVE,0.9993189573287964,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Too best,POSITIVE,0.8775487542152405,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"Dashen Bank Super Up,use the app and makes your easy,fast,convinent.",POSITIVE,0.9985912442207336,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
To join digital world use supper app and make your life easy,POSITIVE,0.9870909452438354,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
best mobile banking application,POSITIVE,0.9996380805969238,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"This banking superapp is incredibly well designed. The design and appearance of the app and the overall experience I have when using the app is fantastic. The app is packed with features from banking to e-commerce all in one place.It even has a budget setting option which is super useful for managing my money. Everything runs smoothly and I love how convenient it has made my daily life. Huge Kudos to Dashen Bank. You are truly living up to the motto ''Always one step ahead."" Keep it up!",POSITIVE,0.9998156428337097,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
I was really amazed by the idea of an e-commerce service on a banking app. This is what it means to be one step ahead. Please include all kinds of products in there as soon as possible.,POSITIVE,0.9981945157051086,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
this is what we expect to get service Dashen Bank always like his slogan,NEGATIVE,0.8835349082946777,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"Dashen SupApp is the most contemporary application, offering a great experience by enabling users to perform multiple tasks through a single platform—such as chatting with friends, transferring money, paying bills, and more. It is the first app of its kind in the Ethiopian banking industry, making it a remarkable opportunity for entrepreneurs working in app-based sales and software marketing. Good job, Dashen Bank!",POSITIVE,0.9997934699058533,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Dashen Super App gives me an amazing convenience and makes life easy.,POSITIVE,0.999823272228241,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
excellent mobile banking app,POSITIVE,0.9998179078102112,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Wow! like his name Super App...,POSITIVE,0.9985873699188232,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Dashen supper app is the most special. ይምቾቱ ይለያያል!!!!,POSITIVE,0.9926958084106445,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
convenient and fast,POSITIVE,0.9996170997619629,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Best- in-class app.,POSITIVE,0.999584972858429,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
I really like this amazing application and Dashen Supper app that has made my life easier.,POSITIVE,0.9997171759605408,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Superb,POSITIVE,0.9998656511306763,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"amazing features, faster and easy to use",POSITIVE,0.9998817443847656,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"The Dashen Super App offers a modern, user-friendly experience that leverages the latest technological advancements to deliver a seamless e-commerce platform",POSITIVE,0.999481737613678,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Best App!,POSITIVE,0.9997498393058777,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
I love it. one of the best mobile banking app in the banking industry,POSITIVE,0.9998683929443359,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
I love this app,POSITIVE,0.9998608827590942,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
no working for me hulum information asgebiche continue or accept yemilew button ayeseram my phone is Samsung A51,NEGATIVE,0.9980541467666626,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
waw no idea the best app.,NEGATIVE,0.9923465251922607,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
fast best app,POSITIVE,0.999737560749054,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Nice App,POSITIVE,0.9998061060905457,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
nice app ever,POSITIVE,0.9998384714126587,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
very disappointing app. Closes frequently and unstable in function,NEGATIVE,0.9997677206993103,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"Feature-rich? Absolutely. But the speed? Painfully slow. Seriously, is it communicating with a server on Mars or something?",NEGATIVE,0.9992289543151855,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
nic app,POSITIVE,0.9797858595848083,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Nice,POSITIVE,0.9998552799224854,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"The Dashen Super App delivers a remarkably fast, highly secure, and exceptionally user-friendly experience, establishing it as a leading application in its category.keep it up and stay ahead Dashen Bank.",POSITIVE,0.9997890591621399,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
So far so good! their in person customer service is amazing 👏,POSITIVE,0.9998642206192017,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
The app is very backward and doesn't always work. If it works three hours out of 24 hours it's great!😥,NEGATIVE,0.9958034157752991,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
ምርጫዬ ነው,NEGATIVE,0.7850579619407654,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
It's bad for the connection and too many days are it that not working,NEGATIVE,0.9996840953826904,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
it's samart,POSITIVE,0.9992457628250122,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"The app is not working properly, I have been using it.",NEGATIVE,0.999715268611908,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
it is very good app,POSITIVE,0.9998699426651001,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"I had a disappointing experience with Dashen Bank's Super Up service. The app is very slow and takes forever to load during transactions, which is incredibly frustrating. Additionally, it doesn't generate receipts for any transactions, making it difficult to keep track of my expenses. I also reached out to customer support, but the response time was longer than expected. Overall, I was hoping for a better experience, but I find the service lacking and in need of improvement.",NEGATIVE,0.9996039271354675,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
slow cumbersome,NEGATIVE,0.9997989535331726,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Is really 💀,POSITIVE,0.9858713746070862,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
It's slow to send OTP. it's not reliable. It crushed many times. It needs improvement in many ways,NEGATIVE,0.9997294545173645,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"This is the worst mobile banking experience I’ve ever had. It doesn’t work when you need it, and it randomly updates itself without warning. You can’t make transactions whenever you want. It’s a nightmare for anyone who relies on this as their main banking option, especially those with a lot of money in their account. I’m lucky I’m not one of them, but still, it’s infuriating not being able to access your money when you need it.""l",NEGATIVE,0.9996976852416992,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"I have experienced on using the app of Banks in Ethiopia, this Dashen sup is like old version of the applications for using. I gave 3 star for it's very low speed while login and processing",NEGATIVE,0.9981010556221008,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
proud by dashen bank,POSITIVE,0.9998666048049927,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
best,POSITIVE,0.9997941851615906,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
This app is not working unless you turn off developer mode on your phone. So it takes your rights to just use it.,NEGATIVE,0.9994447827339172,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
real super up,POSITIVE,0.9998282194137573,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
it's very disappointing fix it as soon as possible not expected from dashin bank fix it,NEGATIVE,0.9993618130683899,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
why dashen bank workers hidden my ATM Card 🏧?it's a big problem to me,NEGATIVE,0.999297022819519,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
tanku,NEGATIVE,0.9159650802612305,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
perfect,POSITIVE,0.9998517036437988,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
goood,NEGATIVE,0.9943867921829224,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
why does it ask me for both pin and opt even the opt is touch let alone both,NEGATIVE,0.9958769083023071,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
it is best app easy to use,POSITIVE,0.9864111542701721,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
It is very easy to use and powerful application.,POSITIVE,0.9997655749320984,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
this apps have a good feature but but some features like developer mode turn off irritate user,NEGATIVE,0.997230589389801,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"This is not only a mobile banking app, it is beyond that. We will access our account easily, we are able to get many information easily here. i.e. exchage rate. We are able to chat with others, we are able to budget, we are able to transfer to other bank and within Dashen. we are able to access many accounts in a single app, we are able to pay bills in QR scan, we are able to make payments and order delivery items here in a single app. #Always one step ahead.",POSITIVE,0.9897826910018921,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
wallahi very fantastic Bank,POSITIVE,0.999818742275238,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"Waw, It's amazing app. thank you Dashen Bank.",POSITIVE,0.99986732006073,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
nice app,POSITIVE,0.9998061060905457,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
"I’ve been using the Dashen Bank Super App for a while now, and it’s been a game-changer. The app is super fast and reliable—I’ve never had an issue with transactions being delayed. One of my favorite features is the chat banking, which makes it so easy to do things like check my balance or transfer money just by typing a quick message. The budgeting tool is also really useful. It helps me keep track of my spending and gives me a clear picture of where",POSITIVE,0.9992021918296814,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
nice application,POSITIVE,0.9998229146003723,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
